sort_name,clean_name,album,x2003_rank_old,x2003_rank,x2012_rank,x2020_rank,x2020_2003_differential,release_year,album_genre,album_type,wks_on_billboard,peak_billboard_position,spotify_popularity,spotify_uri,chartmetric_link,artist_member_count,artist_gender,artist_birth_year_sum,debut_album_release_year,avg_age_at_top_500_album,years_between_debut_and_top_500_album,album_id,album_id_quoted,x25,x26
"Sinatra, Frank",Frank Sinatra,,101,100,101,282,-182,1955,Big Band/Jazz,Studio,,2,,spotify:album:3GmwKB1tgPZgXeRJZSm9WX,https://app.chartmetric.com/album/3115110/about,,Male,,,,,3GmwKB1tgPZgXeRJZSm9WX,"""3GmwKB1tgPZgXeRJZSm9WX"",",NA,NA
"Diddley, Bo",Bo Diddley,,212,214,216,455,-241,1955,Rock n' Roll/Rhythm & Blues,Studio,,201,,spotify:album:1cbtDEwxCjMhglb49OgNBR,https://app.chartmetric.com/album/4137525/about,,Male,,,,,1cbtDEwxCjMhglb49OgNBR,"""1cbtDEwxCjMhglb49OgNBR"",",NA,NA
"Presley, Elvis",Elvis Presley,,56,55,56,332,-277,1956,Rock n' Roll/Rhythm & Blues,Studio,,1,,spotify:album:7GXP5OhYyPVLmcVfO9Iqin,https://app.chartmetric.com/album/1338334/about,,Male,,,,,7GXP5OhYyPVLmcVfO9Iqin,"""7GXP5OhYyPVLmcVfO9Iqin"",",NA,NA
"Sinatra, Frank",Frank Sinatra,,302,306,308,NA,-195,1956,Big Band/Jazz,Studio,,2,,spotify:album:4kca7vXd1Wo5GE2DMafvMc,https://app.chartmetric.com/album/1075976/about,,Male,,,,,4kca7vXd1Wo5GE2DMafvMc,"""4kca7vXd1Wo5GE2DMafvMc"",",NA,NA
Little Richard,Little Richard,,50,50,50,227,-177,1957,NA,Studio,,13,,spotify:album:18tV6PLXYvVjsdOVk0S7M8,https://app.chartmetric.com/album/3128391/about,,Male,,,,,18tV6PLXYvVjsdOVk0S7M8,"""18tV6PLXYvVjsdOVk0S7M8"",",NA,NA
Beyonce,Beyonce,,NA,NA,NA,32,469,2016,NA,Studio,,1,,spotify:album:7dK54iZuOxXFarGhXwEXfF,https://app.chartmetric.com/album/4160994/about,,Female,,,,,7dK54iZuOxXFarGhXwEXfF,"""7dK54iZuOxXFarGhXwEXfF"",",NA,NA
"Winehouse, Amy",Amy Winehouse,,NA,NA,451,33,468,2006,Soul/Gospel/R&B,Studio,,2,,spotify:album:097eYvf9NKjFnv4xA9s2oV,https://app.chartmetric.com/album/3334226/about,,Female,,,,,097eYvf9NKjFnv4xA9s2oV,"""097eYvf9NKjFnv4xA9s2oV"",",NA,NA
Crickets,Buddy Holly,,415,421,420,NA,-80,1957,Rock n' Roll/Rhythm & Blues,Studio,,201,,spotify:album:1KfXNUbZrdwHMtkAGNBLBq,https://app.chartmetric.com/album/4798380/about,,Male,,,,,1KfXNUbZrdwHMtkAGNBLBq,"""1KfXNUbZrdwHMtkAGNBLBq"",",NA,NA
"Bush, Kate",Kate Bush,,NA,NA,NA,68,433,1985,NA,Studio,,30,,spotify:album:5G5UwqPsxDKpxJLX4xsyuh,https://app.chartmetric.com/album/860176/about,,Female,,,,,5G5UwqPsxDKpxJLX4xsyuh,"""5G5UwqPsxDKpxJLX4xsyuh"",",NA,NA
"Davis, Miles",Miles Davis,,12,12,12,31,-19,1959,Big Band/Jazz,Studio,,201,,spotify:album:1weenld61qoidwYuZ1GESA,https://app.chartmetric.com/album/636839/about,,Male,,,,,1weenld61qoidwYuZ1GESA,"""1weenld61qoidwYuZ1GESA"",",NA,NA
"Coltrane, John",John Coltrane,,103,102,103,232,-130,1959,Big Band/Jazz,Studio,,201,,spotify:album:6NkgPYCMAzttRIKDpuJrFp,https://app.chartmetric.com/album/6761669/about,,Male,,,,,6NkgPYCMAzttRIKDpuJrFp,"""6NkgPYCMAzttRIKDpuJrFp"",",NA,NA
Beyonce,Beyonce,,NA,NA,NA,81,420,2013,NA,Studio,,1,,spotify:album:2UJwKSBUz6rtW4QLK74kQu,https://app.chartmetric.com/album/370590/about,,Female,,,,,2UJwKSBUz6rtW4QLK74kQu,"""2UJwKSBUz6rtW4QLK74kQu"",",NA,NA
"Coleman, Ornette",Ornette Coleman,,243,246,248,417,-171,1959,Big Band/Jazz,Studio,,201,,spotify:album:2iPH3iUmpa9ufIpwY76keF,https://app.chartmetric.com/album/3972846/about,,Male,,,,,2iPH3iUmpa9ufIpwY76keF,"""2iPH3iUmpa9ufIpwY76keF"",",NA,NA
"Badu, Erykah",Erykah Badu,,NA,NA,NA,89,412,1997,Soul/Gospel/R&B,Studio,,2,,spotify:album:3qr4pTBWEU1SVf01j6RAx3,https://app.chartmetric.com/album/3248192/about,,Female,,,,,3qr4pTBWEU1SVf01j6RAx3,"""3qr4pTBWEU1SVf01j6RAx3"",",NA,NA
"Elliott, Missy",Missy Elliott,,NA,NA,NA,93,408,1997,Hip-Hop/Rap,Studio,,3,,spotify:album:6UkdyvPElK6JDkyeRClbI2,https://app.chartmetric.com/album/3957140/about,,Female,,,,,6UkdyvPElK6JDkyeRClbI2,"""6UkdyvPElK6JDkyeRClbI2"",",NA,NA
Howlin' Wolf,Howlin' Wolf,,153,153,154,477,-324,1959,Blues/Blues Rock,Compilation,,201,,spotify:album:76MT4lqzC1oSvSYnHHjMam,https://app.chartmetric.com/album/4137552/about,,Male,,,,,76MT4lqzC1oSvSYnHHjMam,"""76MT4lqzC1oSvSYnHHjMam"",",NA,NA
"Swift, Taylor",Taylor Swift,,NA,NA,NA,99,402,2012,Country/Folk/Country Rock/Folk Rock,Studio,,1,,spotify:album:1EoDsNmgTLtmwe1BDAVxV5,https://app.chartmetric.com/album/3315693/about,,Female,,,,,1EoDsNmgTLtmwe1BDAVxV5,"""1EoDsNmgTLtmwe1BDAVxV5"",",NA,NA
"Apple, Fiona",Fiona Apple,,NA,NA,NA,108,393,1999,Indie/Alternative Rock,Studio,,13,,spotify:album:3o5EnVZNJXtfPV8tCoagjI,https://app.chartmetric.com/album/3955868/about,,Female,,,,,3o5EnVZNJXtfPV8tCoagjI,"""3o5EnVZNJXtfPV8tCoagjI"",",NA,NA
"Charles, Ray",Ray Charles,,260,263,265,NA,-238,1959,NA,Studio,,17,,spotify:album:4GFWnwli2cVOBp2G1zqhV1,https://app.chartmetric.com/album/3974621/about,,Male,,,,,4GFWnwli2cVOBp2G1zqhV1,"""4GFWnwli2cVOBp2G1zqhV1"",",NA,NA
"Jackson, Janet",Janet Jackson,,NA,NA,NA,111,390,1986,Soul/Gospel/R&B,Studio,,1,,spotify:album:7GWkceE5McMVfffd1RGL6Y,https://app.chartmetric.com/album/3956683/about,,Female,,,,,7GWkceE5McMVfffd1RGL6Y,"""7GWkceE5McMVfffd1RGL6Y"",",NA,NA
Etta James,Etta James,,118,116,119,191,-75,1960,Soul/Gospel/R&B,Studio,,201,,spotify:album:7rd4PorIOPjPTy7qdUeeCt,https://app.chartmetric.com/album/3872384/about,,Female,,,,,7rd4PorIOPjPTy7qdUeeCt,"""7rd4PorIOPjPTy7qdUeeCt"",",NA,NA
"Mitchell, Joni",Joni Mitchell,,NA,NA,NA,133,368,1976,NA,Studio,,13,,Not on Spotify,NA,,Female,,,,,NOS007,"""Not on Spotify"",",NA,NA
Adele,Adele,,NA,NA,NA,137,364,2011,Soul/Gospel/R&B,Studio,,1,,spotify:album:0Lg1uZvI312TPqxNWShFXL,https://app.chartmetric.com/album/7149504/about,,Female,,,,,0Lg1uZvI312TPqxNWShFXL,"""0Lg1uZvI312TPqxNWShFXL"",",NA,NA
"Waters, Muddy",Muddy Waters,,344,348,348,NA,-153,1960,Blues/Blues Rock,Live,,201,,spotify:album:7gTcPv1bE0THbjuvDbK1gq,https://app.chartmetric.com/album/5054999/about,,Male,,,,,7gTcPv1bE0THbjuvDbK1gq,"""7gTcPv1bE0THbjuvDbK1gq"",",NA,NA
"Davis, Miles",Miles Davis,,352,356,358,NA,-145,1960,Big Band/Jazz,Studio,,201,,spotify:album:2xyhltm9XWSQ5xok4C81BD,https://app.chartmetric.com/album/1082241/about,,Male,,,,,2xyhltm9XWSQ5xok4C81BD,"""2xyhltm9XWSQ5xok4C81BD"",",NA,NA
"Franklin, Aretha",Aretha Franklin,,NA,NA,NA,154,347,1972,Soul/Gospel/R&B,Live,,7,,spotify:album:5pIUimaQ6XePPXbMUi3te0,https://app.chartmetric.com/album/247778/about,,Female,,,,,5pIUimaQ6XePPXbMUi3te0,"""5pIUimaQ6XePPXbMUi3te0"",",NA,NA
"Badu, Erykah",Erykah Badu,,NA,NA,NA,158,343,2000,Soul/Gospel/R&B,Studio,,11,,spotify:album:3cADvHRdKniF9ELCn1zbGH,https://app.chartmetric.com/album/3003175/about,,Female,,,,,3cADvHRdKniF9ELCn1zbGH,"""3cADvHRdKniF9ELCn1zbGH"",",NA,NA
"Johnson, Robert",Robert Johnson,,NA,27,NA,374,-347,1961,Blues/Blues Rock,Compilation,,201,,spotify:album:2IWaNq5o4tG1w6yxve5BMU,https://app.chartmetric.com/album/3955150/about,,Male,,,,,2IWaNq5o4tG1w6yxve5BMU,"""2IWaNq5o4tG1w6yxve5BMU"",",NA,NA
Sleater Kinney,Sleater-Kinney,,NA,NA,272,189,312,1997,Punk/Post-Punk/New Wave/Power Pop,Studio,,201,,spotify:album:3tshnNFNhHrO6NUQ0BHw42,https://app.chartmetric.com/album/4005987/about,,Female,,,,,3tshnNFNhHrO6NUQ0BHw42,"""3tshnNFNhHrO6NUQ0BHw42"",",NA,NA
